,Cv,OP,dP,F
0,0.0,0.0,1.0,0.0
1,0.0,0.0,2.0,0.0
2,0.0,0.0,3.0,0.0
3,0.0,0.0,4.0,0.0
4,0.0,0.0,5.0,0.0
5,0.0,0.0,6.0,0.0
6,0.0,0.0,7.0,0.0
7,0.0,0.0,8.0,0.0
8,0.0,0.0,9.0,0.0
9,0.0,0.0,10.0,0.0
10,0.0,0.1111111111111111,1.0,0.0
11,0.0,0.1111111111111111,2.0,0.0
12,0.0,0.1111111111111111,3.0,0.0
13,0.0,0.1111111111111111,4.0,0.0
14,0.0,0.1111111111111111,5.0,0.0
15,0.0,0.1111111111111111,6.0,0.0
16,0.0,0.1111111111111111,7.0,0.0
17,0.0,0.1111111111111111,8.0,0.0
18,0.0,0.1111111111111111,9.0,0.0
19,0.0,0.1111111111111111,10.0,0.0
20,0.0,0.2222222222222222,1.0,0.0
21,0.0,0.2222222222222222,2.0,0.0
22,0.0,0.2222222222222222,3.0,0.0
23,0.0,0.2222222222222222,4.0,0.0
24,0.0,0.2222222222222222,5.0,0.0
25,0.0,0.2222222222222222,6.0,0.0
26,0.0,0.2222222222222222,7.0,0.0
27,0.0,0.2222222222222222,8.0,0.0
28,0.0,0.2222222222222222,9.0,0.0
29,0.0,0.2222222222222222,10.0,0.0
30,0.0,0.3333333333333333,1.0,0.0
31,0.0,0.3333333333333333,2.0,0.0
32,0.0,0.3333333333333333,3.0,0.0
33,0.0,0.3333333333333333,4.0,0.0
34,0.0,0.3333333333333333,5.0,0.0
35,0.0,0.3333333333333333,6.0,0.0
36,0.0,0.3333333333333333,7.0,0.0
37,0.0,0.3333333333333333,8.0,0.0
38,0.0,0.3333333333333333,9.0,0.0
39,0.0,0.3333333333333333,10.0,0.0
40,0.0,0.4444444444444444,1.0,0.0
41,0.0,0.4444444444444444,2.0,0.0
42,0.0,0.4444444444444444,3.0,0.0
43,0.0,0.4444444444444444,4.0,0.0
44,0.0,0.4444444444444444,5.0,0.0
45,0.0,0.4444444444444444,6.0,0.0
46,0.0,0.4444444444444444,7.0,0.0
47,0.0,0.4444444444444444,8.0,0.0
48,0.0,0.4444444444444444,9.0,0.0
49,0.0,0.4444444444444444,10.0,0.0
50,0.0,0.5555555555555556,1.0,0.0
51,0.0,0.5555555555555556,2.0,0.0
52,0.0,0.5555555555555556,3.0,0.0
53,0.0,0.5555555555555556,4.0,0.0
54,0.0,0.5555555555555556,5.0,0.0
55,0.0,0.5555555555555556,6.0,0.0
56,0.0,0.5555555555555556,7.0,0.0
57,0.0,0.5555555555555556,8.0,0.0
58,0.0,0.5555555555555556,9.0,0.0
59,0.0,0.5555555555555556,10.0,0.0
60,0.0,0.6666666666666666,1.0,0.0
61,0.0,0.6666666666666666,2.0,0.0
62,0.0,0.6666666666666666,3.0,0.0
63,0.0,0.6666666666666666,4.0,0.0
64,0.0,0.6666666666666666,5.0,0.0
65,0.0,0.6666666666666666,6.0,0.0
66,0.0,0.6666666666666666,7.0,0.0
67,0.0,0.6666666666666666,8.0,0.0
68,0.0,0.6666666666666666,9.0,0.0
69,0.0,0.6666666666666666,10.0,0.0
70,0.0,0.7777777777777777,1.0,0.0
71,0.0,0.7777777777777777,2.0,0.0
72,0.0,0.7777777777777777,3.0,0.0
73,0.0,0.7777777777777777,4.0,0.0
74,0.0,0.7777777777777777,5.0,0.0
75,0.0,0.7777777777777777,6.0,0.0
76,0.0,0.7777777777777777,7.0,0.0
77,0.0,0.7777777777777777,8.0,0.0
78,0.0,0.7777777777777777,9.0,0.0
79,0.0,0.7777777777777777,10.0,0.0
80,0.0,0.8888888888888888,1.0,0.0
81,0.0,0.8888888888888888,2.0,0.0
82,0.0,0.8888888888888888,3.0,0.0
83,0.0,0.8888888888888888,4.0,0.0
84,0.0,0.8888888888888888,5.0,0.0
85,0.0,0.8888888888888888,6.0,0.0
86,0.0,0.8888888888888888,7.0,0.0
87,0.0,0.8888888888888888,8.0,0.0
88,0.0,0.8888888888888888,9.0,0.0
89,0.0,0.8888888888888888,10.0,0.0
90,0.0,1.0,1.0,0.0
91,0.0,1.0,2.0,0.0
92,0.0,1.0,3.0,0.0
93,0.0,1.0,4.0,0.0
94,0.0,1.0,5.0,0.0
95,0.0,1.0,6.0,0.0
96,0.0,1.0,7.0,0.0
97,0.0,1.0,8.0,0.0
98,0.0,1.0,9.0,0.0
99,0.0,1.0,10.0,0.0
100,111.11111111111111,0.0,1.0,0.0
101,111.11111111111111,0.0,2.0,0.0
102,111.11111111111111,0.0,3.0,0.0
103,111.11111111111111,0.0,4.0,0.0
104,111.11111111111111,0.0,5.0,0.0
105,111.11111111111111,0.0,6.0,0.0
106,111.11111111111111,0.0,7.0,0.0
107,111.11111111111111,0.0,8.0,0.0
108,111.11111111111111,0.0,9.0,0.0
109,111.11111111111111,0.0,10.0,0.0
110,111.11111111111111,0.1111111111111111,1.0,12.345679012345679
111,111.11111111111111,0.1111111111111111,2.0,17.459426695964137
112,111.11111111111111,0.1111111111111111,3.0,21.38334330331947
113,111.11111111111111,0.1111111111111111,4.0,24.691358024691358
114,111.11111111111111,0.1111111111111111,5.0,27.605777499997405
115,111.11111111111111,0.1111111111111111,6.0,30.240614108434293
116,111.11111111111111,0.1111111111111111,7.0,32.66359643289618
117,111.11111111111111,0.1111111111111111,8.0,34.91885339192827
118,111.11111111111111,0.1111111111111111,9.0,37.03703703703704
119,111.11111111111111,0.1111111111111111,10.0,39.04046494035036
120,111.11111111111111,0.2222222222222222,1.0,24.691358024691358
